funder_name,funder_openAlex_id,count,Is_Implemented
Leverhulme Trust,F4320319993,67,False
Conselho Nacional de Desenvolvimento Científico e Tecnológico,F4320322025,65,False
European Social Fund,F4320338080,61,False
HORIZON EUROPE Marie Sklodowska-Curie Actions,F4320338438,56,True
National Institute on Aging,F4320337337,56,True
"Ministerstvo Školství, Mládeže a Tělovýchovy",F4320321005,55,False
Ministero dell'Università e della Ricerca,F4320331528,55,False
Chinese Academy of Sciences,F4320321133,51,False
National Research Foundation of Korea,F4320322120,51,False
Air Force Office of Scientific Research,F4320338279,51,True
Fondo Nacional de Desarrollo Científico y Tecnológico,F4320338073,51,True
National Aeronautics and Space Administration,F4320306101,49,True
"Forskningsrådet om Hälsa, Arbetsliv och Välfärd",F4320324004,48,False
Agencia Nacional de Promoción Científica y Tecnológica,F4320334832,47,False
Bundesministerium für Bildung und Forschung,F4320321114,46,False
Fundación BBVA,F4320309764,39,False
High Energy Physics,F4320337511,35,False
Royal Society,F4320320006,31,False
Junta de Andalucía,F4320326754,30,False
Argonne National Laboratory,F4320338284,30,False
Max-Planck-Gesellschaft,F4320322434,29,False
Ministry of Science and Technology of the People's Republic of China,F4320321540,29,False
"Materials Research Science and Engineering Center, Harvard University",F4320333422,28,False
"Dirección General de Asuntos del Personal Académico, Universidad Nacional Autónoma de México",F4320335100,27,False
National Research Foundation,F4320320671,27,False
National Institute on Drug Abuse,F4320337347,26,True
Consejo Superior de Investigaciones Científicas,F4320334857,25,False
China Postdoctoral Science Foundation,F4320321543,25,False
Univerzita Karlova v Praze,F4320309755,25,False
Gordon and Betty Moore Foundation,F4320306202,23,False
Division of Chemistry,F4320337393,23,True
National Key Research and Development Program of China,F4320335777,21,False
Universidad Nacional Autónoma de México,F4320323401,20,False
National Institute of Neurological Disorders and Stroke,F4320337359,20,True
Basic Energy Sciences,F4320337480,19,False
Istituto Nazionale di Fisica Nucleare,F4320327843,19,False
SLAC National Accelerator Laboratory,F4320338381,18,False
High Energy Accelerator Research Organization,F4320324045,17,False
John Templeton Foundation,F4320306193,16,False
National Nuclear Security Administration,F4320332369,16,False
Fundación Bancaria Caixa d'Estalvis i Pensions de Barcelona,F4320330256,16,False
Space Telescope Science Institute,F4320314503,16,False
Los Alamos National Laboratory,F4320338304,15,False
National Institute of Mental Health,F4320337346,15,True
Centers for Disease Control and Prevention,F4320332162,15,True
Instituto de Astrofísica de Andalucía,F4320331115,14,False
China Scholarship Council,F4320322725,14,False
Universidad de Buenos Aires,F4320323257,13,False
Iowa State University,F4320311090,13,False
Nuclear Physics,F4320337512,13,False
National Cancer Institute,F4320337351,13,True
University of Toronto,F4320322015,12,False
Consejo Nacional de Ciencia y Tecnología,F4320321739,12,False
National Science and Technology Council,F4320331164,11,False
Federación Española de Enfermedades Raras,F4320321595,11,False
"National Institute on Disability, Independent Living, and Rehabilitation Research",F4320337604,11,True
“la Caixa” Foundation,F4320312058,11,False
Oak Ridge National Laboratory,F4320338287,9,False
Army Research Office,F4320338281,9,True
Camille and Henry Dreyfus Foundation,F4320306315,9,False
National Institute on Deafness and Other Communication Disorders,F4320337352,9,True
Simons Foundation,F4320306164,8,False
National Energy Research Scientific Computing Center,F4320317220,8,False
"Ministero dell’Istruzione, dell’Università e della Ricerca",F4320321873,8,False
European Research Council,F4320334678,8,False
Ministerstwo Edukacji i Nauki,F4320322733,8,False
"Nemzeti Kutatási, Fejlesztési és Innovaciós Alap",F4320335908,8,False
"Division of Chemical, Bioengineering, Environmental, and Transport Systems",F4320337390,8,True
"National Heart, Lung, and Blood Institute",F4320337338,8,True
Engineering and Physical Sciences Research Council,F4320334627,8,True
Joint Institute for Computational Fundamental Science,F4320318146,7,False
Alfred P. Sloan Foundation,F4320306151,7,False
Lawrence Berkeley National Laboratory,F4320338292,7,False
Carl Tryggers Stiftelse för Vetenskaplig Forskning,F4320321501,7,False
Center for Substance Abuse Prevention,F4320337429,7,False
Government of Canada,F4320319880,6,False
Multidisciplinary University Research Initiative,F4320333591,6,False
John D. and Catherine T. MacArthur Foundation,F4320306142,6,False
CERN,F4320313559,6,False
American Cancer Society,F4320306095,6,False
Social Sciences and Humanities Research Council of Canada,F4320334617,6,False
Welch Foundation,F4320306196,6,False
Bill and Melinda Gates Foundation,F4320306137,6,True
Eunice Kennedy Shriver National Institute of Child Health and Human Development,F4320337611,6,True
Office of International Science and Engineering,F4320337370,5,False
National Institute of Allergy and Infectious Diseases,F4320337355,5,True
Patient-Centered Outcomes Research Institute,F4320308927,5,False
National Institute on Alcohol Abuse and Alcoholism,F4320337330,5,True
National High Magnetic Field Laboratory,F4320313883,5,False
University of Chicago,F4320309626,4,False
"Ministry of Education, Youth and Science",F4320321842,4,False
Division of Ocean Sciences,F4320337386,4,True
Biotechnology and Biological Sciences Research Council,F4320334629,3,False
Medical Research Council,F4320334626,3,False
Aspen Center for Physics,F4320310042,3,False
Air Force Research Laboratory,F4320338294,3,False
National Institute of Child Health and Human Development,F4320337364,3,True
Comunidad de Madrid,F4320313831,3,False
"Ministry of Science and ICT, South Korea",F4320328359,3,False
HORIZON EUROPE Framework Programme,F4320334322,3,False
Defense Advanced Research Projects Agency,F4320332180,3,False
Common Fund,F4320338403,3,False
National Center for Complementary and Integrative Health,F4320337593,3,True
National Research Council of Thailand,F4320322817,3,False
Agency for Healthcare Research and Quality,F4320332177,3,False
"Kavli Institute for Theoretical Physics, University of California, Santa Barbara",F4320337427,2,False
University of Arizona,F4320310160,2,False
Berlin Mathematics Research Center MATH+,F4320330291,2,False
Human Frontier Science Program,F4320320338,2,False
European Space Agency,F4320318240,2,False
HORIZON EUROPE European Research Council,F4320338453,2,True
Biological and Environmental Research,F4320337509,2,False
National Institute of Environmental Health Sciences,F4320337361,2,True
Fiducie de Recherche sur la Foret des Cantons-de-l'Est,F4320323189,2,False
Solar Energy Technologies Office,F4320337712,2,False
"West China Hospital, Sichuan University",F4320336042,2,False
Belgian Federal Science Policy Office,F4320321454,2,False
Institut sur la Nutrition et les Aliments Fonctionnels,F4320332623,2,False
Austrian Science Fund,F4320321181,2,False
Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,F4320321091,2,False
Fonds Wetenschappelijk Onderzoek,F4320321730,2,False
Beijing Municipal Science and Technology Commission,F4320325902,2,False
NIH Office of the Director,F4320337349,2,False
Division of Molecular and Cellular Biosciences,F4320337397,2,True
National Institute on Minority Health and Health Disparities,F4320337534,2,False
Florida State University,F4320309170,2,False
National Center for Advancing Translational Sciences,F4320337472,2,False
Quality Enhancement Research Initiative,F4320332498,2,False
Yorkshire Forward,F4320313919,2,False
Fundamental Research Funds for the Central Universities,F4320335787,2,False
"Division of Intramural Research, National Institute of Allergy and Infectious Diseases",F4320309123,2,True
University of South China,F4320325572,2,False
Hjärnfonden,F4320322168,2,False
Intramural Research Program,F8394932145,2,False
Qatar National Research Fund,F4320332753,1,False
Arts and Humanities Research Council,F4320334609,1,False
Royal Society Te Apārangi,F4320320774,1,False
Precursory Research for Embryonic Science and Technology,F4320338111,1,False
American Chemical Society,F4320308355,1,False
Energy Frontier Research Centers,F4320338420,1,False
UK Space Agency,F4320312931,1,False
National Science Fund for Distinguished Young Scholars,F4320336125,1,False
Directorate for Mathematical and Physical Sciences,F4320332172,1,True
INFRAFRONTIER,F4320318810,1,False
Institut de Ciències del Cosmos,F4320335897,1,False
Agència de Gestió d'Ajuts Universitaris i de Recerca,F4320334830,1,False
California Institute of Technology,F4320309398,1,False
Harvard University,F4320309622,1,False
"Division of Electrical, Communications and Cyber Systems",F4320337392,1,False
Division of Computing and Communication Foundations,F4320337387,1,True
European Molecular Biology Organization,F4320307844,1,False
Center for Advancing Research Impact in Society,F4167512298,1,False
North Dakota Game and Fish Department,F3350164171,1,False
NextGenerationEU,F7311471023,1,False
Akademie Věd České Republiky,F4320322482,1,False
U.S. National Library of Medicine,F4320337372,1,True
Division of Graduate Education,F4320337368,1,True
University of North Carolina at Chapel Hill,F4320332600,1,False
Dipartimenti di Eccellenza,F4320317295,1,False
Istituto Nazionale di Astrofisica,F4320323147,1,False
American Sheep Industry Association,F4320317394,1,False
California Department of Fish and Game,F4320308022,1,False
Russian Science Foundation,F4320324099,1,False
UK Research and Innovation,F4320314731,1,False
Cancer Prevention and Research Institute of Texas,F4320308129,1,False
Substance Abuse and Mental Health Services Administration,F4320332164,1,False
Ministry of Sports and Education,F4320327559,1,False
Oklahoma State University,F4320309482,1,False
Michigan State University,F4320310016,1,False
Brookhaven National Laboratory,F4320338289,1,False
Universität Innsbruck,F4320327491,1,False
Facebook,F4320308737,1,False
Division of Astronomical Sciences,F4320337404,1,False
National Institute of Diabetes and Digestive and Kidney Diseases,F4320337357,1,True
U.S. Department of Defense,F4320306078,1,False
Frederick National Laboratory for Cancer Research,F4320313762,1,False
Howard Hughes Medical Institute,F4320306082,1,False
Materials Sciences and Engineering Division,F17521132,1,False
Division of Emerging Frontiers,F4320337401,1,False
Grand Équipement National De Calcul Intensif,F4320326256,1,False
Universitas Brawijaya,F4320323817,1,False
Horizon 2020,F4320335254,1,True
State of Florida,F5617725241,1,False
Bioenergy Technologies Office,F4320337708,1,False
"Department of Biotechnology, Ministry of Science and Technology, India",F4320320717,1,False
Stephenson Cancer Center,F4320333795,1,False
"Albert Einstein College of Medicine, Yeshiva University",F4320332522,1,False
ALS Association,F4320306232,1,False
Heising-Simons Foundation,F4320314817,1,False
Advanced Scientific Computing Research,F4320337506,1,False
Kyoto University,F4320323365,1,False
W.K. Kellogg Foundation,F4320310049,1,False
Robert Wood Johnson Foundation,F4320306139,1,False
University of Washington,F4320310094,1,False
Fred Hutchinson Cancer Research Center,F4320308793,1,False
Istituto Nazionale di Fisica Nucleare Sezione di Padova,F4320316224,1,False
Versus Arthritis,F4320327444,1,False
Jet Propulsion Laboratory,F4320332375,1,False
Division of Industrial Innovation and Partnerships,F4320337396,1,True
Health Services Research and Development,F4320309610,1,False
World Bank Group,F4320307855,1,False
"Ministry of Higher Education, Science, Research and Innovation, Thailand",F4320329432,1,False
Fonds De La Recherche Scientifique - FNRS,F4320321390,1,False
Carnegie Corporation of New York,F4320306125,1,False
"University of California, San Francisco",F4320332622,1,False
High Level Innovation and Entrepreneurial Research Team Program in Jiangsu,F5515530138,1,False
Riksbankens Jubileumsfond,F4320322659,1,False
Division of Social and Economic Sciences,F4320337366,1,True
Guangxi Key Laboratory of Automatic Detection Technology and Instrument Foundation,F4320326293,1,False
State Key Laboratory of Chemo/Biosensing and Chemometrics,F4320326871,1,False
Brandeis University,F4320310134,1,False
National Center for Injury Prevention and Control,F4320337417,1,False
U.S. Department of Health and Human Services,F4320306085,1,False
Foundation for the National Institutes of Health,F4320306080,1,True
Boston College,F4320308357,1,False
American Economic Association,F4320315031,1,False
University of Ottawa,F4320310630,1,False
Global Challenges Research Fund,F4320316481,1,False
Instituto Nazionale di Fisica Nucleare,F4320334899,1,False
"Office of Research Infrastructure Programs, National Institutes of Health",F4320337901,1,False
National Stroke Foundation,F4320320373,1,False
Australian Research Council,F4320334704,1,True
Slovenská Akadémia Vied,F4320312330,1,False
Natural Science Foundation of Zhejiang Province,F4320338464,1,False
National Institute of Biomedical Imaging and Bioengineering,F4320337363,1,True
Templeton Religion Trust,F4320327997,1,False
Calouste Gulbenkian Foundation,F4320320052,1,False
Lundbeckfonden,F4320321999,1,False
National Institute of Arthritis and Musculoskeletal and Skin Diseases,F4320337362,1,True
Wellcome Trust,F4320311904,1,False
Natural Science Foundation of Hunan Province,F4320322843,1,False
Health Commission of Hunan Province,F4320317581,1,False
Canadian Institutes of Health Research,F4320334506,1,False
Economic and Social Research Council,F4320334630,1,False
Scientific Research Fund for Young and Middle-Aged Scholars of Gansu University of Traditional Chinese Medicine,F4320335929,1,False
Division of Mathematical Sciences,F4320337380,1,True
U.S. Department of Veterans Affairs,F4320306127,1,False
National Institute of Mental Health and Neurosciences,F4320318855,1,True
Narodowym Centrum Nauki,F4320322650,1,False
